track_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Hands on the Floor,0.859,0.508,5,-7.459,0,0.331,0.182,0.0,0.0725,0.592,100.067,rap
Conceited (feat. Lola Brooke & Maiya The Don),0.94,0.761,8,-4.408,1,0.0979,0.0741,1.89e-05,0.59,0.414,118.027,rap
Honey Bun,0.718,0.763,7,-7.011,1,0.114,0.266,0.00214,0.335,0.181,92.054,rap
Give U Some (feat. Rob49),0.945,0.682,4,-7.295,0,0.311,0.0177,0.0,0.0813,0.84,102.489,rap
Telfy,0.939,0.713,0,-6.964,0,0.206,0.247,0.0,0.0732,0.69,123.065,rap
BAFWM,0.907,0.681,1,-5.06,1,0.311,0.204,0.0,0.0637,0.726,139.906,rap
Maneuver (feat. Flo Milli),0.842,0.859,11,-3.654,1,0.265,0.0682,0.0,0.148,0.568,124.941,rap
Issa Photoshoot,0.803,0.634,2,-5.403,1,0.0946,0.0463,0.0,0.0969,0.453,160.018,rap
Nann Hoe,0.88,0.681,7,-8.083,0,0.252,0.055,0.0,0.086,0.722,78.013,rap
Blow It (feat. Kali),0.845,0.442,11,-6.655,0,0.147,0.0321,0.315,0.107,0.343,88.502,rap
Here I Come,0.825,0.663,1,-4.989,1,0.0948,0.0138,0.000222,0.0971,0.45,91.965,rap
berserk,0.886,0.886,0,-5.222,1,0.218,0.0721,0.000134,0.0621,0.701,99.924,rap
What Else,0.925,0.551,9,-7.145,1,0.21,0.117,0.0,0.08,0.666,127.024,rap
Stand On It,0.897,0.721,1,-3.857,1,0.307,0.133,1.21e-06,0.0527,0.704,139.995,rap
Diamond in the Rough - Remix,0.822,0.601,1,-7.421,1,0.429,0.15,0.0,0.098,0.689,155.003,rap
6000 Degrees (AH HA),0.918,0.517,2,-7.085,1,0.156,0.0365,0.0,0.0998,0.158,131.983,rap
In Ha Mood,0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,rap
F.N.G.M.,0.937,0.719,6,-6.409,0,0.161,0.0186,1.1e-05,0.0909,0.384,96.048,rap
Keep The Change,0.778,0.682,6,-4.917,0,0.209,0.0111,0.0,0.132,0.256,155.091,rap
Pussycat,0.873,0.812,0,-3.624,1,0.14,0.031,0.0,0.118,0.388,127.015,rap
Gang Gang,0.674,0.869,1,-4.528,1,0.132,0.117,0.000174,0.309,0.566,146.16,rap
Munch (Feelin’ U),0.811,0.528,11,-7.278,0,0.275,0.291,0.0,0.0787,0.635,166.084,rap
TAN,0.696,0.478,1,-7.898,1,0.229,0.00417,0.0,0.418,0.218,84.082,rap
Scary (feat. Rico Nasty),0.903,0.707,0,-4.896,1,0.439,0.0106,2.89e-05,0.114,0.528,85.024,rap
Messy,0.69,0.308,11,-16.06,1,0.496,0.3,0.0,0.0996,0.446,144.015,rap
Wet,0.853,0.422,8,-5.639,1,0.113,0.00572,3.39e-06,0.11,0.522,160.028,rap
F.N.F. (Let's Go),0.864,0.476,1,-10.068,1,0.436,0.0374,0.0,0.374,0.647,157.144,rap
Gorilla,0.716,0.813,5,-5.748,1,0.256,0.269,0.0,0.104,0.682,90.418,rap
Juju,0.744,0.349,1,-8.474,1,0.363,0.194,0.0,0.0994,0.265,82.495,rap
Swamp Bitches (with Rico Nasty),0.823,0.62,0,-6.219,1,0.0671,0.000132,0.000354,0.0866,0.194,140.082,rap
Raid,0.684,0.683,1,-5.531,1,0.343,0.0177,0.0,0.111,0.663,165.883,rap
Seduce & Scheme (RAP SH!T: Soundtrack From The Max Original Series),0.915,0.645,1,-6.312,1,0.0847,0.0012,0.0,0.0794,0.385,108.028,rap
Big Steppa,0.982,0.857,0,-3.163,1,0.219,0.254,3.99e-05,0.0416,0.581,111.986,rap
CHOSEN,0.71,0.593,9,-10.684,1,0.33,0.00969,0.0,0.398,0.329,96.353,rap
Come Thru,0.765,0.595,1,-11.121,1,0.419,0.0274,0.00147,0.0692,0.208,79.964,rap
Back To The Basics,0.935,0.597,3,-8.464,0,0.358,0.283,0.0,0.108,0.791,129.981,rap
No Hook,0.783,0.758,2,-4.294,0,0.3,0.279,0.0,0.129,0.51,102.018,rap
Come Outside,0.775,0.874,8,-3.561,1,0.262,0.665,0.0,0.141,0.691,142.916,rap
Outside (feat. Fivio Foreign),0.822,0.666,6,-7.377,0,0.389,0.101,0.0,0.133,0.866,73.487,rap
Gangsta,0.908,0.623,9,-5.548,1,0.294,0.0823,0.0,0.0814,0.87,146.054,rap
Out Loud Thinking,0.651,0.545,5,-5.617,0,0.64,0.052,0.0,0.86,0.233,73.727,rap
Bag$ on Bag$,0.868,0.715,2,-4.86,1,0.154,0.000959,0.0,0.105,0.193,74.999,rap
Gotsta Get Paid,0.81,0.734,11,-2.353,1,0.142,0.00673,0.0,0.136,0.52,142.644,rap
Remember,0.855,0.704,11,-11.274,1,0.445,0.0679,0.0,0.664,0.16,149.999,rap
Alone,0.811,0.603,2,-3.485,1,0.338,0.0124,0.0,0.244,0.375,158.906,rap
One Time,0.832,0.577,8,-7.556,1,0.323,0.0716,0.0,0.163,0.609,137.754,rap
Black Barbie,0.838,0.766,6,-8.485,1,0.517,0.45,0.0,0.0738,0.855,164.873,rap
PTSD,0.854,0.463,1,-5.997,1,0.0915,0.00773,7.35e-06,0.12,0.551,119.04,rap
Stop Playin,0.903,0.525,7,-8.564,0,0.57,0.476,2.93e-06,0.62,0.561,119.962,rap
Bout U,0.868,0.409,6,-7.104,0,0.131,0.00169,0.00552,0.23,0.294,145.059,rap
Playin Wit Me,0.905,0.682,6,-7.51,0,0.268,0.00194,0.0,0.0598,0.805,85.01,rap
Choosey,0.767,0.599,10,-10.83,0,0.34,0.368,0.0,0.117,0.816,104.923,rap
Real Freak,0.834,0.509,1,-8.946,1,0.247,0.0088,0.0,0.0807,0.454,150.049,rap
Unh Unh,0.724,0.8,1,-6.19,1,0.415,0.0741,1.53e-06,0.144,0.562,178.339,rap
GIRLS GONE WILD,0.899,0.555,10,-9.322,0,0.09,0.141,2.14e-06,0.0933,0.62,140.148,rap
The Facts (feat. Young Devyn),0.725,0.67,0,-5.936,1,0.226,0.0067,0.0,0.1,0.362,160.043,rap
Glass Slipper Flows,0.515,0.692,9,-5.898,1,0.38,0.145,0.0,0.589,0.279,75.188,rap
Mel Gibson,0.776,0.745,0,-9.976,1,0.457,0.202,9.48e-05,0.367,0.594,77.925,rap
Love Again,0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,not_rap
Ghost,0.715,0.931,11,-3.548,0,0.0426,0.00573,0.00185,0.0549,0.615,119.971,not_rap
Flowers,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,not_rap
I'm Not Here To Make Friends,0.698,0.895,0,-4.439,1,0.0628,0.172,1.45e-05,0.409,0.838,114.914,not_rap
Rush,0.792,0.503,1,-8.044,1,0.0626,0.0369,0.00057,0.0959,0.381,99.97,not_rap
Red Flags,0.841,0.65,8,-5.627,1,0.131,0.021,4.15e-06,0.0694,0.748,129.979,not_rap
